EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;07/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;08/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;10/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;11/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;12/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;13/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;14/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;15/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;17/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;18/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;19/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;20/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;21/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;22/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;24/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;25/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;26/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;27/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;LA CASA DEL DETALLE;AV.19 #15 10;CASDET01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;LA CASA DEL DETALLE;AV.19 #15 10;CASDET01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
