EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;23/01/11;0;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;24/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;25/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1401;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;C;;25/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1401;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1401;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1410;SUDROGUERIA;CR 20 #50 74;SUDROG01;C;;27/01/11;3;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1680;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;21/01/11;5;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1680;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;22/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1680;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;23/01/11;6;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1680;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;24/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1680;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;25/01/11;5;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1680;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;26/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1680;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;27/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1570;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;C;;04/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1570;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;C;;05/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1570;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;C;;06/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1570;TIENDA MIXTA EL GORDO;CR 19 # 16-20;TIEGOR01;C;;07/01/11;0;;;960;;PAT;LA PATRIA
